,Reviews
66,"0:12
Расскажу о функциях (далее Ф.) ...
0:17
Лаба уже прошла, уже столкнулись с функциями ...

Вопрос, а не поздно ли рассказывать после столкновения-то?

0:27
Покажу, как и для чего они существуют.

Вопросы: а откуда они взялись, прежде, чем начали существовать, откуда взялось это понятие, какие существуют понятия слова, и в каком конкретном значении будет дальнейшее изучение?

0:34
Описание функции
Вопрос: что такое описание, не только Ф., а в общем, что мы под этим подразумеваем, где общая форма описания функций на ЯП Пайтон?

0:41
Совсем простая Ф. имеет, как бы процедурный вид.
Вопрос: почему она имеет такой вид?
Лично мне понятно, что речь о том, что функция, это, в простейшем случае, тоже самое, что и процедура в процедурном программировании и почти тоже самое, что структура в структурном программировании, в каком-то случае - подпрограмма.
Но вряд ли кто-то, хоть один в аудитории способен представить подобную цепочку понятий.
Так чему же учит Тимофей?

0:48
Пишу простую Ф. ...
Вопрос: из чего следует/видно, что происходит написание функции, ведь формального шаблона описания функций показано не было?

0:55
У этой Ф. будет пустой список параметров
Вопрос: опять же, без формального шаблона описания, как и кому должен быть понятен синтакис и его семантика - из чего должен быть понятен смысл скобок и тем более, параметров?

1:45
Есть определение Ф.
Вопрос: Так определение или описание?
Не мешало бы определиться более точно, т.к. определение функции и описание функции, это не одно и то же.
Я знаю, что в интерпретируемых ЯП граница между этими понятиями сильно размыта и даже часто стерта совсем.
Но тем не менее, ни что так не важно в образовании, как дефиниции - у всего есть противоположности и невозможно познать истину изучая только одну сторону к.л. явления или вещи.

1:54
Скобки являются, опять же, признаком вызова.
Вопросы: почему ""опять же"", когда об этом уже упоминалось, в определении/описании функции?
Почему не сказано, что ""()"" это знак оператора вызова/выполнения/вычисления функции?
В определении/описании функциии ""()"" это не знак оператора вызова, а синтаксис описания параметров.

2:00
Может ли быть нужным упоминание идентификатора функции, без оператора вызова?
Вопрос: зачем об этом рассуждать сейчас, это же обучение, а не беседа двух Тимофеев со стажем программирования на нескольких ЯП?

4:40
При определении/описании функции в скобках описываются ПАРАМЕТРЫ,
при вызове функции в скобках записываются АРГУМЕНТЫ.

4:54
А могу ли я, сделать так, чтобы Ф. не требовала параметр обязательно?
Вопросы:
А из чего был выведен этот вопрос - какая возникла задача, потребность, проблема такие, что понадобились параметры по умолчанию?
Параметр или аргумент?

6:36
Нормальные функции ...
Вопрос: не слишком ли резкий, неочевидный и длинный прыжок к функциональному программированию, когда дошли только до процедурного и еще не закончили?
Если слушатели не услышат о разных парадигмах программирования, то и программировать они будут так, как звери в Простоквашино письмо писали, если не хуже.

6:55
Сразу вопросы: откуда взялись чистые функции, с потолка упали?
Где причины - проблемы, потребности, задачи, концепции?
Что противопоставялется чистым функциям?
Наш разум все познает в сравнениях.
Зачем устраивать в мозгах слушателей калейдоскоп из слов (противоположность - мозаика, то есть логически сложенное что-то вместе)?!

7:15
Кстати, возвращает, ...

7:18
Ф-ии всегда что-то возвращают, даже если это явно не описано в Ф., - минимум код завершения выполнения Ф., успешное или аварийное.

7:21
Давайте напишем функцию, которая возвращает, ... синтаксис возврата ...

Вот если бы изначально был дан формальный шаблон описания Ф-ий, то такие прыжки не понадобились бы.

7:53
Кстати, параметры разделяются запятыми.

Так прозвучало и выглядело, как что-то незначительное, о чем можно забыть и/или не знать, ну подумаешь, всего лишь синтаксис, ерунда.

Все, больше не нужно слушать и смотреть дальше, изучать Python пойду изучать по другим источникам.

Короче, это какой-то треш!

Никакой последовательности изучения (программирования),
ни Computer science, ни Python,
никакого последовательного выведения понятий от простого к сложному, от общего к частному, от известного к неизвестному, от частного к общему,
никаких причинно-следственных связей

Это уровень лекций ВУЗа?
Такими заигрываниями только 10-12-ти летних детей учить, хотя только портить!
Реформированная система образования предстала во всем своем устрашении.

Беги отсюда, всяк сюда забредший для изучения ЯП Пайтон, это не обучение программированию, это имитация образовательной деятельности.

Лучше учитесь сами, по книгам, по спецификациям.
Есть Дональд Кнут, есть Дейкстра, есть Самерфилд и т.д. и т.п..

Кто хочет увидеть разницу между обучением, дидактикой и профанацией, усиленно рекомендую посмотреть справочник советской школы по ЯП Си, Бочкова и Субботина, легко найдете поиском.
Тот, кто хочет изучать языки П. маст хэв должен быть знаком с этим справочником для того, чтобы быть имунным к калейдоскопическим знаниям и уметь структурно запоминать получаемую информацию.
Лучше книги, как пример подачи материала (дидактики), на мой взгляд не найти, ибо навыки великой цивилизации утрачены почти полностью, остались только чистоган, очковтирательство, профанация на каждом шаге."
67,"Тимофей Фёдорович, спасибо Вам - ШЕДЕВРАЛЬНО!!!!! Полезно и учителям, которые переходят из Pascal-я  на Python."
68,Джампкаты на третьей минуте отпадные:)) экономят время и придают динамики
69,"Как нас за гоуту наказывали, не любили брейк. И ты ещё должен был доказать что без бряка не обойтись."
70,Спасибо вам!!!
71,"Тимофей, вы ГЕРАКЛ среди препадов!"
72,"Все это выучил самостоятельно за гораздо меньшее время, вышку пора реформировать"
73,"Я понял, я должен выучить питона, дипломники задолбали, все просят программы, а я лишь делаю сайты на Joomla. Питон это будущее, плюс джанго, и интеграция с мобильными телефонами. Я уважаю призвание и работу учителей. И таких грамотных, и немного не понимаю почему имея такие знания не работать в более оплачиваемой сфере. Но это лирика, главное результат. Кто то должен там работать, а кто то должен этому научить. Спасибо за труды"
74,"А можно курс с теми же темами, но чтобы все лекции были для проектировщиков строителей? Мне так понятнее было"
75,Лучший лектор !
